     Unnamed: 0                      name  last_usd  high_usd  low_usd    chg chg_perc      vol        time  Unnamed: 9               created_date
48          NaN               Xcel Energy     64.30     65.96    63.90  -1.95    -2.94    2.52M  1586980799         NaN 2020-04-16 00:05:54.482374
49          NaN                       CSX     60.89     61.01    59.90  -1.65    -2.64    3.18M  1586980799         NaN 2020-04-16 00:05:54.482374
50          NaN                    Exelon     37.03     38.29    36.80  -2.04    -5.22    5.91M  1586980799         NaN 2020-04-16 00:05:54.482374
51          NaN                    Micron     46.43     46.66    45.64  -1.19    -2.50   22.39M  1586980799         NaN 2020-04-16 00:05:54.482374
52          NaN           Western Digital     42.65     43.59    41.80  -2.12    -4.74    5.06M  1586980799         NaN 2020-04-16 00:05:54.482374
53          NaN              Marriott Int     80.73     81.99    77.53  -1.95    -2.36    4.82M  1586980799         NaN 2020-04-16 00:05:54.482374
54          NaN         Texas Instruments    107.98    109.14   106.76  -2.97    -2.68    5.38M  1586980799         NaN 2020-04-16 00:05:54.482374
55          NaN                       AMD     54.99     55.57    53.41   0.06    +0.11   83.81M  1586980799         NaN 2020-04-16 00:05:54.482374
56          NaN           Walgreens Boots     43.44     45.80    43.29  -2.94    -6.34    6.05M  1586980799         NaN 2020-04-16 00:05:54.482374
57          NaN                   PepsiCo    135.03    137.56   133.70  -3.37    -2.44    5.77M  1586980799         NaN 2020-04-16 00:05:54.482374
58          NaN                       ADP    137.64    140.66   137.18  -6.23    -4.33    2.15M  1586980799         NaN 2020-04-16 00:05:54.482374
59          NaN  United Airlines Holdings     31.86     32.60    29.88   0.96    +3.11   46.78M  1586980799         NaN 2020-04-16 00:05:54.482374
60          NaN                   Netflix    426.75    434.98   412.25  13.20    +3.19   13.56M  1586980799         NaN 2020-04-16 00:05:54.482374
61          NaN                    Cerner     68.21     69.29    66.68  -0.74    -1.07    2.41M  1586980799         NaN 2020-04-16 00:05:54.482374
62          NaN                   Booking   1424.60   1440.00  1390.70 -24.80    -1.71  452.84K  1586980799         NaN 2020-04-16 00:05:54.482374
63          NaN       O’Reilly Automotive    353.89    356.00   344.50  -2.46    -0.69  467.74K  1586980799         NaN 2020-04-16 00:05:54.482374
64          NaN          Seattle Genetics    125.04    126.98   121.95   1.25    +1.01  756.26K  1586980799         NaN 2020-04-16 00:05:54.482374
65          NaN                  Illumina    294.29    295.90   288.26  -3.59    -1.21    1.11M  1586980799         NaN 2020-04-16 00:05:54.482374
66          NaN                     Maxim     52.11     52.40    51.04  -1.09    -2.05    2.12M  1586980799         NaN 2020-04-16 00:05:54.482374
67          NaN                   Alexion     96.94     98.40    95.86  -2.46    -2.47    1.71M  1586980799         NaN 2020-04-16 00:05:54.482374
68          NaN                  Broadcom    257.44    262.32   256.16 -10.19    -3.81    2.59M  1586980799         NaN 2020-04-16 00:05:54.482374
69          NaN                       NXP     87.14     90.49    86.06  -5.14    -5.57    3.90M  1586980799         NaN 2020-04-16 00:05:54.482374
70          NaN                     Tesla    729.83    753.13   710.00  19.94    +2.81   23.58M  1586980799         NaN 2020-04-16 00:05:54.482374
71          NaN                  Take-Two    123.50    126.80   121.74   0.72    +0.59    3.58M  1586980799         NaN 2020-04-16 00:05:54.482374
72          NaN               Dollar Tree     78.09     78.61    76.58  -1.79    -2.24    1.73M  1586980799         NaN 2020-04-16 00:05:54.482374
73          NaN                     Align    183.83    186.87   181.17  -6.17    -3.25  920.45K  1586980799         NaN 2020-04-16 00:05:54.482374
74          NaN                     ANSYS    253.98    256.61   249.38  -0.82    -0.32  498.90K  1586980799         NaN 2020-04-16 00:05:54.482374
75          NaN           Biomarin Pharma     82.36     84.63    82.31  -3.39    -3.95    1.33M  1586980799         NaN 2020-04-16 00:05:54.482374
76          NaN    Charter Communications    496.32    497.98   474.54   6.75    +1.38    1.04M  1586980799         NaN 2020-04-16 00:05:54.482374
77          NaN                    CoStar    641.23    654.10   636.53  -3.72    -0.58  160.84K  1586980799         NaN 2020-04-16 00:05:54.482374
78          NaN                IDEXX Labs    257.82    260.97   251.22  -5.19    -1.97  443.95K  1586980799         NaN 2020-04-16 00:05:54.482374
